AAAÑO,MMES,QCATEGORÍAS,INTIPO,IDDISTRITO,DPROVINCIA,QLUG,IDSITTURI,ADACTIV,NVISIT,QPROVENENCIA,PPRECIO
2017,enero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,33,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,6,extranjero,S/ 65
2017,enero,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,Nacional,S/ 30
2017,enero,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,extranjero,S/ 65
2017,enero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,445,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,23,extranjero,S/ 65
2017,enero,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,13,Nacional,S/ 30
2017,enero,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,extranjero,S/ 65
2017,enero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,extranjero,S/ 65
2017,enero,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,Nacional,S/ 30
2017,enero,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,extranjero,S/ 65
2017,enero,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,Nacional,S/ 30
2017,enero,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,extranjero,S/ 65
2017,enero,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,Nacional,S/ 30
2017,enero,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,enero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,79,extranjero,S/ 65
2017,enero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,extranjero,S/ 65
2017,enero,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,8,Nacional,S/ 30
2017,enero,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,211,extranjero,S/ 65
2017,enero,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,Nacional,S/ 30
2017,enero,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 69,Turismo,4684,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 70,Turismo,1917,extranjero,S/ 65
2017,febrero,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 71,Turismo,496,Nacional,S/ 30
2017,febrero,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 72,Turismo,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",167,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",68,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,3728,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,430,extranjero,S/ 65
2017,febrero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,327,Nacional,S/ 30
2017,febrero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,extranjero,S/ 65
2017,febrero,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,548,Nacional,S/ 30
2017,febrero,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,2,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,78,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,255,extranjero,S/ 65
2017,febrero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,1,Nacional,S/ 30
2017,febrero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,6,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,11,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,15,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,2,extranjero,S/ 65
2017,febrero,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,Nacional,S/ 30
2017,febrero,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,252,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,21,extranjero,S/ 65
2017,febrero,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,10,Nacional,S/ 30
2017,febrero,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,extranjero,S/ 65
2017,febrero,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,1561,Nacional,S/ 30
2017,febrero,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,149,extranjero,S/ 65
2017,febrero,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,Nacional,S/ 30
2017,febrero,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,extranjero,S/ 65
2017,febrero,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,178,Nacional,S/ 30
2017,febrero,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,97,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,extranjero,S/ 65
2017,febrero,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,Nacional,S/ 30
2017,febrero,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,extranjero,S/ 65
2017,febrero,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,Nacional,S/ 30
2017,febrero,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 69,Turismo,2347,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 70,Turismo,1248,extranjero,S/ 65
2017,marzo,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 71,Turismo,231,Nacional,S/ 30
2017,marzo,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 72,Turismo,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",1,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",295,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,1467,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Catac,Recuay,carpa,Pastoruri,Turismo,418,extranjero,S/ 65
2017,marzo,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,121,Nacional,S/ 30
2017,marzo,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,"escalada a los nevados de Ishinca, Urus, Aquillpo y Tocllaraju",0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,0,extranjero,S/ 65
2017,marzo,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,204,Nacional,S/ 30
2017,marzo,convencional,exonerado,Acopalca,Huari,Purhuay,laguna Purhuay,Turismo,4,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,49,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,104,extranjero,S/ 65
2017,marzo,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,0,Nacional,S/ 30
2017,marzo,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,Laguna Churup,Turismo,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Treking Quillcayhuanca - Cojup,0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,7,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,9,extranjero,S/ 65
2017,marzo,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,Nacional,S/ 30
2017,marzo,convencional,exonerado,Independencia,Huaraz,Llaca,laguna Llaca,Turismo,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,7,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,escalada del nevado Ocshapalca y al nevado Vallunaraju,0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,140,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,8,extranjero,S/ 65
2017,marzo,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,19,Nacional,S/ 30
2017,marzo,convencional,exonerado,Shilla,Carhuaz,Ulta,Punta olimpica,Turismo,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,2,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escalada al nevado Contrahierbas,0,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,0,extranjero,S/ 65
2017,marzo,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,700,Nacional,S/ 30
2017,marzo,convencional,exonerado,Chavin ,Huaraz,Querococha,Laguna Querocoha,Turismo,87,extranjero,S/ 65
2017,marzo,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,Nacional,S/ 30
2017,marzo,convencional,Con boleto ,Caraz,Huaylas,Paron,Laguna Paron,Turismo,0,extranjero,S/ 65
2017,marzo,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,71,Nacional,S/ 30
2017,marzo,convencional,exonerado,Caraz,Huaylas,Paron,Laguna Paron,Turismo,84,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escalada al nevado Artesonraju,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,2,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,29,extranjero,S/ 65
2017,marzo,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,extranjero,S/ 65
2017,marzo,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,Nacional,S/ 30
2017,marzo,Aventura,Con boleto ,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,197,extranjero,S/ 65
2017,marzo,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,Nacional,S/ 30
2017,marzo,Aventura,exonerado,San Marcos,Huari,Huaripampa,Huaripampa,trekking Huaripampa - Santa Cruz,0,extranjero,S/ 65
2017,abril,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 69,Turismo,7176,Nacional,S/ 30
2017,abril,convencional,Con boleto ,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 70,Turismo,1732,extranjero,S/ 65
2017,abril,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 71,Turismo,336,Nacional,S/ 30
2017,abril,convencional,exonerado,Yungay,Yungay,Llanganuco,laguna Chinancocha y laguna 72,Turismo,0,extranjero,S/ 65
2017,abril,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",64,Nacional,S/ 30
2017,abril,Aventura,Con boleto ,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",552,extranjero,S/ 65
2017,abril,Aventura,exonerado,Yungay,Yungay,Llanganuco,PNH,"escalada a los nevados Pisco, Yanapaccha, Chacraraju, Huandoy y Chopicalqui",0,Nacional,S/ 30
